question,answer,operation
Ava has 81 candies and wants to divide them equally among 9 friends. How many candies does each friend get?,9,division
"If Sara had 75 marbles and gave away 21, how many marbles does Sara have left?",54,subtraction
Liam has 20 marbles and wants to divide them equally among 4 friends. How many marbles does each friend get?,5,division
"Emma has 8 boxes of coins, each containing 9 coins. How many coins does Emma have in total?",72,multiplication
"If Mia had 59 marbles and gave away 13, how many marbles does Mia have left?",46,subtraction
"If Emma had 100 oranges and gave away 54, how many oranges does Emma have left?",46,subtraction
"If Noah had 94 coins and gave away 86, how many coins does Noah have left?",8,subtraction
"If Jay had 66 marbles and gave away 1, how many marbles does Jay have left?",65,subtraction
Ava has 40 balls and wants to divide them equally among 5 friends. How many balls does each friend get?,8,division
"If Ethan had 89 coins and gave away 34, how many coins does Ethan have left?",55,subtraction
"If Ethan had 38 oranges and got another 19 oranges, how many oranges does Ethan have now?",57,addition
"Sara has 10 boxes of apples, each containing 9 apples. How many apples does Sara have in total?",90,multiplication
"Mia has 10 boxes of books, each containing 11 books. How many books does Mia have in total?",110,multiplication
"If Emma had 5 pencils and got another 49 pencils, how many pencils does Emma have now?",54,addition
Ava has 81 apples and wants to divide them equally among 9 friends. How many apples does each friend get?,9,division
Ava has 48 candies and wants to divide them equally among 8 friends. How many candies does each friend get?,6,division
"If Sara had 46 apples and gave away 6, how many apples does Sara have left?",40,subtraction
"If Sara had 91 balls and gave away 25, how many balls does Sara have left?",66,subtraction
Ava has 20 marbles and wants to divide them equally among 2 friends. How many marbles does each friend get?,10,division
"If Emma had 100 marbles and gave away 33, how many marbles does Emma have left?",67,subtraction
Ava has 32 balls and wants to divide them equally among 8 friends. How many balls does each friend get?,4,division
"Emma has 12 boxes of pencils, each containing 3 pencils. How many pencils does Emma have in total?",36,multiplication
"If Mia had 39 candies and got another 2 candies, how many candies does Mia have now?",41,addition
"If Ava had 13 apples and gave away 1, how many apples does Ava have left?",12,subtraction
"If Emma had 20 oranges and got another 34 oranges, how many oranges does Emma have now?",54,addition
"If Ava had 85 balls and gave away 14, how many balls does Ava have left?",71,subtraction
"If Jay had 94 oranges and gave away 56, how many oranges does Jay have left?",38,subtraction
Sara has 14 coins and wants to divide them equally among 2 friends. How many coins does each friend get?,7,division
"If Ethan had 15 coins and gave away 15, how many coins does Ethan have left?",0,subtraction
Mia has 24 oranges and wants to divide them equally among 3 friends. How many oranges does each friend get?,8,division
"Noah has 3 boxes of oranges, each containing 3 oranges. How many oranges does Noah have in total?",9,multiplication
"If Liam had 9 oranges and got another 37 oranges, how many oranges does Liam have now?",46,addition
"Ava has 8 boxes of apples, each containing 2 apples. How many apples does Ava have in total?",16,multiplication
"If Liam had 92 balls and gave away 69, how many balls does Liam have left?",23,subtraction
"If Noah had 11 marbles and got another 45 marbles, how many marbles does Noah have now?",56,addition
"If Jay had 39 coins and gave away 24, how many coins does Jay have left?",15,subtraction
"Ethan has 9 boxes of pencils, each containing 4 pencils. How many pencils does Ethan have in total?",36,multiplication
"If Jay had 1 candies and got another 39 candies, how many candies does Jay have now?",40,addition
Liam has 50 coins and wants to divide them equally among 10 friends. How many coins does each friend get?,5,division
"Mia has 3 boxes of oranges, each containing 2 oranges. How many oranges does Mia have in total?",6,multiplication
"Noah has 10 boxes of coins, each containing 7 coins. How many coins does Noah have in total?",70,multiplication
"Sara has 8 boxes of pencils, each containing 11 pencils. How many pencils does Sara have in total?",88,multiplication
"If Liam had 37 marbles and got another 38 marbles, how many marbles does Liam have now?",75,addition
"If Ava had 43 candies and got another 13 candies, how many candies does Ava have now?",56,addition
"If Liam had 75 oranges and gave away 8, how many oranges does Liam have left?",67,subtraction
"If Noah had 39 candies and got another 8 candies, how many candies does Noah have now?",47,addition
"Emma has 2 boxes of apples, each containing 7 apples. How many apples does Emma have in total?",14,multiplication
"If Noah had 12 marbles and gave away 2, how many marbles does Noah have left?",10,subtraction
Jay has 21 balls and wants to divide them equally among 3 friends. How many balls does each friend get?,7,division
"Noah has 6 boxes of books, each containing 10 books. How many books does Noah have in total?",60,multiplication
"Mia has 2 boxes of books, each containing 7 books. How many books does Mia have in total?",14,multiplication
"If Sara had 21 apples and got another 23 apples, how many apples does Sara have now?",44,addition
"If Ava had 98 books and gave away 41, how many books does Ava have left?",57,subtraction
"If Noah had 19 pencils and got another 17 pencils, how many pencils does Noah have now?",36,addition
"If Liam had 38 pencils and got another 24 pencils, how many pencils does Liam have now?",62,addition
"If Mia had 43 oranges and gave away 16, how many oranges does Mia have left?",27,subtraction
"If Ava had 71 apples and gave away 32, how many apples does Ava have left?",39,subtraction
"If Mia had 41 marbles and got another 21 marbles, how many marbles does Mia have now?",62,addition
"Liam has 4 boxes of pencils, each containing 8 pencils. How many pencils does Liam have in total?",32,multiplication
Sara has 18 pencils and wants to divide them equally among 9 friends. How many pencils does each friend get?,2,division
Liam has 30 candies and wants to divide them equally among 5 friends. How many candies does each friend get?,6,division
Emma has 81 pencils and wants to divide them equally among 9 friends. How many pencils does each friend get?,9,division
"If Ava had 15 marbles and got another 39 marbles, how many marbles does Ava have now?",54,addition
"If Mia had 10 apples and gave away 4, how many apples does Mia have left?",6,subtraction
"Liam has 7 boxes of marbles, each containing 9 marbles. How many marbles does Liam have in total?",63,multiplication
"Noah has 4 boxes of balls, each containing 11 balls. How many balls does Noah have in total?",44,multiplication
Mia has 80 oranges and wants to divide them equally among 8 friends. How many oranges does each friend get?,10,division
Noah has 54 marbles and wants to divide them equally among 6 friends. How many marbles does each friend get?,9,division
Noah has 15 coins and wants to divide them equally among 5 friends. How many coins does each friend get?,3,division
"If Emma had 10 balls and got another 28 balls, how many balls does Emma have now?",38,addition
"If Noah had 33 books and got another 38 books, how many books does Noah have now?",71,addition
"If Ava had 90 marbles and gave away 14, how many marbles does Ava have left?",76,subtraction
Ava has 18 balls and wants to divide them equally among 6 friends. How many balls does each friend get?,3,division
"If Emma had 77 books and gave away 7, how many books does Emma have left?",70,subtraction
"If Ethan had 13 candies and got another 19 candies, how many candies does Ethan have now?",32,addition
Jay has 12 marbles and wants to divide them equally among 4 friends. How many marbles does each friend get?,3,division
Mia has 21 apples and wants to divide them equally among 3 friends. How many apples does each friend get?,7,division
"If Emma had 82 apples and gave away 81, how many apples does Emma have left?",1,subtraction
"If Ethan had 37 pencils and got another 35 pencils, how many pencils does Ethan have now?",72,addition
"If Ethan had 38 apples and gave away 2, how many apples does Ethan have left?",36,subtraction
"If Liam had 25 pencils and got another 43 pencils, how many pencils does Liam have now?",68,addition
"Emma has 2 boxes of apples, each containing 7 apples. How many apples does Emma have in total?",14,multiplication
Liam has 30 pencils and wants to divide them equally among 6 friends. How many pencils does each friend get?,5,division
Emma has 27 balls and wants to divide them equally among 9 friends. How many balls does each friend get?,3,division
"If Ethan had 57 pencils and gave away 39, how many pencils does Ethan have left?",18,subtraction
"If Sara had 14 books and gave away 5, how many books does Sara have left?",9,subtraction
"If Ava had 63 apples and gave away 39, how many apples does Ava have left?",24,subtraction
"If Mia had 39 apples and got another 43 apples, how many apples does Mia have now?",82,addition
"If Noah had 71 coins and gave away 8, how many coins does Noah have left?",63,subtraction
Jay has 30 oranges and wants to divide them equally among 6 friends. How many oranges does each friend get?,5,division
"Emma has 7 boxes of candies, each containing 10 candies. How many candies does Emma have in total?",70,multiplication
"Liam has 10 boxes of oranges, each containing 5 oranges. How many oranges does Liam have in total?",50,multiplication
"If Ethan had 40 apples and gave away 38, how many apples does Ethan have left?",2,subtraction
"If Emma had 28 pencils and gave away 23, how many pencils does Emma have left?",5,subtraction
"If Ethan had 2 books and got another 48 books, how many books does Ethan have now?",50,addition
"If Liam had 7 books and got another 46 books, how many books does Liam have now?",53,addition
"Ethan has 12 boxes of marbles, each containing 4 marbles. How many marbles does Ethan have in total?",48,multiplication
"Sara has 9 boxes of candies, each containing 12 candies. How many candies does Sara have in total?",108,multiplication
"Mia has 12 boxes of candies, each containing 5 candies. How many candies does Mia have in total?",60,multiplication
"Sara has 8 boxes of marbles, each containing 7 marbles. How many marbles does Sara have in total?",56,multiplication
Mia has 28 apples and wants to divide them equally among 4 friends. How many apples does each friend get?,7,division
"If Noah had 42 coins and got another 50 coins, how many coins does Noah have now?",92,addition
"Sara has 7 boxes of candies, each containing 3 candies. How many candies does Sara have in total?",21,multiplication
Ava has 8 books and wants to divide them equally among 4 friends. How many books does each friend get?,2,division
"If Liam had 18 marbles and gave away 6, how many marbles does Liam have left?",12,subtraction
"If Jay had 1 apples and got another 3 apples, how many apples does Jay have now?",4,addition
Mia has 81 apples and wants to divide them equally among 9 friends. How many apples does each friend get?,9,division
Ethan has 30 balls and wants to divide them equally among 5 friends. How many balls does each friend get?,6,division
"Ethan has 10 boxes of candies, each containing 9 candies. How many candies does Ethan have in total?",90,multiplication
"If Liam had 60 candies and gave away 10, how many candies does Liam have left?",50,subtraction
Noah has 36 books and wants to divide them equally among 4 friends. How many books does each friend get?,9,division
"Jay has 5 boxes of pencils, each containing 10 pencils. How many pencils does Jay have in total?",50,multiplication
"If Mia had 83 coins and gave away 29, how many coins does Mia have left?",54,subtraction
"If Liam had 26 balls and got another 3 balls, how many balls does Liam have now?",29,addition
"Noah has 7 boxes of balls, each containing 7 balls. How many balls does Noah have in total?",49,multiplication
"If Noah had 12 candies and got another 12 candies, how many candies does Noah have now?",24,addition
"Sara has 5 boxes of marbles, each containing 12 marbles. How many marbles does Sara have in total?",60,multiplication
"Ethan has 3 boxes of candies, each containing 2 candies. How many candies does Ethan have in total?",6,multiplication
Sara has 16 pencils and wants to divide them equally among 2 friends. How many pencils does each friend get?,8,division
"If Liam had 52 apples and gave away 33, how many apples does Liam have left?",19,subtraction
"Noah has 12 boxes of apples, each containing 3 apples. How many apples does Noah have in total?",36,multiplication
"If Liam had 27 candies and got another 10 candies, how many candies does Liam have now?",37,addition
"If Liam had 25 books and got another 41 books, how many books does Liam have now?",66,addition
"If Jay had 95 coins and gave away 93, how many coins does Jay have left?",2,subtraction
"Noah has 4 boxes of coins, each containing 11 coins. How many coins does Noah have in total?",44,multiplication
"If Emma had 35 oranges and got another 28 oranges, how many oranges does Emma have now?",63,addition
"Mia has 2 boxes of candies, each containing 5 candies. How many candies does Mia have in total?",10,multiplication
"If Mia had 65 balls and gave away 15, how many balls does Mia have left?",50,subtraction
Noah has 6 balls and wants to divide them equally among 3 friends. How many balls does each friend get?,2,division
Emma has 35 marbles and wants to divide them equally among 7 friends. How many marbles does each friend get?,5,division
"If Emma had 2 candies and got another 41 candies, how many candies does Emma have now?",43,addition
"If Ava had 6 pencils and got another 33 pencils, how many pencils does Ava have now?",39,addition
"If Liam had 30 candies and gave away 6, how many candies does Liam have left?",24,subtraction
"Ethan has 7 boxes of coins, each containing 11 coins. How many coins does Ethan have in total?",77,multiplication
"Noah has 4 boxes of apples, each containing 6 apples. How many apples does Noah have in total?",24,multiplication
"If Sara had 25 apples and got another 37 apples, how many apples does Sara have now?",62,addition
Liam has 80 balls and wants to divide them equally among 8 friends. How many balls does each friend get?,10,division
"If Sara had 93 candies and gave away 74, how many candies does Sara have left?",19,subtraction
Jay has 16 coins and wants to divide them equally among 2 friends. How many coins does each friend get?,8,division
Mia has 64 apples and wants to divide them equally among 8 friends. How many apples does each friend get?,8,division
Emma has 18 candies and wants to divide them equally among 9 friends. How many candies does each friend get?,2,division
"Liam has 11 boxes of balls, each containing 6 balls. How many balls does Liam have in total?",66,multiplication
"If Mia had 20 oranges and got another 45 oranges, how many oranges does Mia have now?",65,addition
"Liam has 9 boxes of oranges, each containing 6 oranges. How many oranges does Liam have in total?",54,multiplication
"Emma has 7 boxes of apples, each containing 7 apples. How many apples does Emma have in total?",49,multiplication
"If Mia had 29 candies and gave away 11, how many candies does Mia have left?",18,subtraction
"If Jay had 44 marbles and got another 33 marbles, how many marbles does Jay have now?",77,addition
"If Ava had 6 pencils and got another 13 pencils, how many pencils does Ava have now?",19,addition
Jay has 30 marbles and wants to divide them equally among 3 friends. How many marbles does each friend get?,10,division
"If Liam had 99 candies and gave away 29, how many candies does Liam have left?",70,subtraction
"If Jay had 39 candies and got another 29 candies, how many candies does Jay have now?",68,addition
"If Jay had 77 coins and gave away 77, how many coins does Jay have left?",0,subtraction
"Mia has 5 boxes of balls, each containing 8 balls. How many balls does Mia have in total?",40,multiplication
"If Sara had 5 balls and got another 18 balls, how many balls does Sara have now?",23,addition
"Ava has 3 boxes of apples, each containing 9 apples. How many apples does Ava have in total?",27,multiplication
"If Mia had 31 candies and got another 12 candies, how many candies does Mia have now?",43,addition
Emma has 50 balls and wants to divide them equally among 5 friends. How many balls does each friend get?,10,division
Noah has 20 apples and wants to divide them equally among 10 friends. How many apples does each friend get?,2,division
"Liam has 12 boxes of pencils, each containing 4 pencils. How many pencils does Liam have in total?",48,multiplication
"Jay has 10 boxes of marbles, each containing 4 marbles. How many marbles does Jay have in total?",40,multiplication
"If Jay had 61 books and gave away 16, how many books does Jay have left?",45,subtraction
"If Sara had 36 apples and got another 18 apples, how many apples does Sara have now?",54,addition
"Sara has 11 boxes of pencils, each containing 4 pencils. How many pencils does Sara have in total?",44,multiplication
"If Sara had 36 books and gave away 34, how many books does Sara have left?",2,subtraction
"If Liam had 49 balls and got another 16 balls, how many balls does Liam have now?",65,addition
"Ava has 6 boxes of marbles, each containing 11 marbles. How many marbles does Ava have in total?",66,multiplication
"Jay has 6 boxes of oranges, each containing 3 oranges. How many oranges does Jay have in total?",18,multiplication
Liam has 35 apples and wants to divide them equally among 7 friends. How many apples does each friend get?,5,division
"If Ava had 77 marbles and gave away 70, how many marbles does Ava have left?",7,subtraction
Ethan has 21 pencils and wants to divide them equally among 3 friends. How many pencils does each friend get?,7,division
"If Mia had 11 books and gave away 10, how many books does Mia have left?",1,subtraction
"If Sara had 44 oranges and got another 4 oranges, how many oranges does Sara have now?",48,addition
Ethan has 28 pencils and wants to divide them equally among 4 friends. How many pencils does each friend get?,7,division
"If Ethan had 13 marbles and gave away 8, how many marbles does Ethan have left?",5,subtraction
"If Liam had 49 balls and gave away 25, how many balls does Liam have left?",24,subtraction
"Ethan has 4 boxes of coins, each containing 6 coins. How many coins does Ethan have in total?",24,multiplication
"If Ava had 23 pencils and gave away 7, how many pencils does Ava have left?",16,subtraction
"If Emma had 49 pencils and got another 42 pencils, how many pencils does Emma have now?",91,addition
"If Liam had 54 oranges and gave away 5, how many oranges does Liam have left?",49,subtraction
Mia has 16 oranges and wants to divide them equally among 8 friends. How many oranges does each friend get?,2,division
"Ethan has 4 boxes of books, each containing 10 books. How many books does Ethan have in total?",40,multiplication
"If Jay had 29 books and gave away 1, how many books does Jay have left?",28,subtraction
"If Liam had 36 candies and got another 40 candies, how many candies does Liam have now?",76,addition
"If Liam had 21 pencils and got another 15 pencils, how many pencils does Liam have now?",36,addition
"If Ava had 25 candies and got another 14 candies, how many candies does Ava have now?",39,addition
"If Jay had 98 pencils and gave away 51, how many pencils does Jay have left?",47,subtraction
"If Mia had 47 candies and got another 1 candies, how many candies does Mia have now?",48,addition
"Liam has 10 boxes of apples, each containing 2 apples. How many apples does Liam have in total?",20,multiplication
"If Ethan had 10 balls and gave away 10, how many balls does Ethan have left?",0,subtraction
"If Jay had 10 candies and gave away 3, how many candies does Jay have left?",7,subtraction
"Mia has 10 boxes of apples, each containing 11 apples. How many apples does Mia have in total?",110,multiplication
"Jay has 7 boxes of marbles, each containing 5 marbles. How many marbles does Jay have in total?",35,multiplication
"If Ava had 32 marbles and got another 37 marbles, how many marbles does Ava have now?",69,addition
"If Jay had 13 books and gave away 12, how many books does Jay have left?",1,subtraction
"If Ava had 40 oranges and got another 5 oranges, how many oranges does Ava have now?",45,addition
"Sara has 5 boxes of marbles, each containing 7 marbles. How many marbles does Sara have in total?",35,multiplication
"Jay has 2 boxes of coins, each containing 6 coins. How many coins does Jay have in total?",12,multiplication
"If Ethan had 48 coins and gave away 27, how many coins does Ethan have left?",21,subtraction
"Ethan has 7 boxes of marbles, each containing 12 marbles. How many marbles does Ethan have in total?",84,multiplication
"Liam has 9 boxes of candies, each containing 4 candies. How many candies does Liam have in total?",36,multiplication
"If Sara had 28 balls and got another 31 balls, how many balls does Sara have now?",59,addition
"If Sara had 61 apples and gave away 5, how many apples does Sara have left?",56,subtraction
"Ethan has 2 boxes of balls, each containing 5 balls. How many balls does Ethan have in total?",10,multiplication
"Emma has 10 boxes of oranges, each containing 7 oranges. How many oranges does Emma have in total?",70,multiplication
Jay has 81 oranges and wants to divide them equally among 9 friends. How many oranges does each friend get?,9,division
"Mia has 12 boxes of books, each containing 4 books. How many books does Mia have in total?",48,multiplication
"If Noah had 29 balls and gave away 3, how many balls does Noah have left?",26,subtraction
"Ethan has 9 boxes of marbles, each containing 6 marbles. How many marbles does Ethan have in total?",54,multiplication
Mia has 28 books and wants to divide them equally among 4 friends. How many books does each friend get?,7,division
"If Noah had 74 candies and gave away 18, how many candies does Noah have left?",56,subtraction
Mia has 20 marbles and wants to divide them equally among 2 friends. How many marbles does each friend get?,10,division
"Liam has 11 boxes of marbles, each containing 11 marbles. How many marbles does Liam have in total?",121,multiplication
"If Ava had 24 books and got another 22 books, how many books does Ava have now?",46,addition
"If Jay had 2 candies and got another 44 candies, how many candies does Jay have now?",46,addition
"Noah has 11 boxes of balls, each containing 5 balls. How many balls does Noah have in total?",55,multiplication
"If Ava had 30 marbles and got another 28 marbles, how many marbles does Ava have now?",58,addition
"If Sara had 88 marbles and gave away 77, how many marbles does Sara have left?",11,subtraction
"Noah has 10 boxes of pencils, each containing 3 pencils. How many pencils does Noah have in total?",30,multiplication
"If Ethan had 4 oranges and got another 48 oranges, how many oranges does Ethan have now?",52,addition
Liam has 14 balls and wants to divide them equally among 2 friends. How many balls does each friend get?,7,division
Jay has 48 pencils and wants to divide them equally among 6 friends. How many pencils does each friend get?,8,division
"If Sara had 26 pencils and got another 36 pencils, how many pencils does Sara have now?",62,addition
"If Jay had 43 marbles and got another 11 marbles, how many marbles does Jay have now?",54,addition
"Liam has 10 boxes of oranges, each containing 11 oranges. How many oranges does Liam have in total?",110,multiplication
"If Noah had 44 balls and gave away 16, how many balls does Noah have left?",28,subtraction
Noah has 16 marbles and wants to divide them equally among 4 friends. How many marbles does each friend get?,4,division
"If Liam had 17 apples and gave away 7, how many apples does Liam have left?",10,subtraction
"If Emma had 40 coins and gave away 5, how many coins does Emma have left?",35,subtraction
"If Ethan had 22 balls and gave away 7, how many balls does Ethan have left?",15,subtraction
"Emma has 8 boxes of coins, each containing 4 coins. How many coins does Emma have in total?",32,multiplication
"Jay has 10 boxes of apples, each containing 2 apples. How many apples does Jay have in total?",20,multiplication
"Mia has 9 boxes of pencils, each containing 4 pencils. How many pencils does Mia have in total?",36,multiplication
"If Noah had 5 oranges and got another 12 oranges, how many oranges does Noah have now?",17,addition
"If Sara had 17 coins and gave away 13, how many coins does Sara have left?",4,subtraction
"Sara has 12 boxes of pencils, each containing 6 pencils. How many pencils does Sara have in total?",72,multiplication
Noah has 90 marbles and wants to divide them equally among 10 friends. How many marbles does each friend get?,9,division
Emma has 48 oranges and wants to divide them equally among 6 friends. How many oranges does each friend get?,8,division
"Liam has 3 boxes of books, each containing 5 books. How many books does Liam have in total?",15,multiplication
"Jay has 4 boxes of balls, each containing 6 balls. How many balls does Jay have in total?",24,multiplication
"Ethan has 7 boxes of coins, each containing 10 coins. How many coins does Ethan have in total?",70,multiplication
"Liam has 2 boxes of balls, each containing 11 balls. How many balls does Liam have in total?",22,multiplication
"If Liam had 23 balls and got another 48 balls, how many balls does Liam have now?",71,addition
"If Ethan had 45 apples and gave away 12, how many apples does Ethan have left?",33,subtraction
"Noah has 8 boxes of pencils, each containing 7 pencils. How many pencils does Noah have in total?",56,multiplication
"Mia has 6 boxes of pencils, each containing 5 pencils. How many pencils does Mia have in total?",30,multiplication
"If Emma had 62 candies and gave away 23, how many candies does Emma have left?",39,subtraction
Ava has 15 candies and wants to divide them equally among 3 friends. How many candies does each friend get?,5,division
"If Jay had 63 books and gave away 13, how many books does Jay have left?",50,subtraction
"Mia has 2 boxes of oranges, each containing 6 oranges. How many oranges does Mia have in total?",12,multiplication
Ava has 49 candies and wants to divide them equally among 7 friends. How many candies does each friend get?,7,division
"If Noah had 13 marbles and got another 25 marbles, how many marbles does Noah have now?",38,addition
"If Mia had 18 pencils and got another 27 pencils, how many pencils does Mia have now?",45,addition
Ethan has 72 candies and wants to divide them equally among 9 friends. How many candies does each friend get?,8,division
"Noah has 9 boxes of pencils, each containing 6 pencils. How many pencils does Noah have in total?",54,multiplication
"If Liam had 78 pencils and gave away 18, how many pencils does Liam have left?",60,subtraction
Jay has 12 candies and wants to divide them equally among 6 friends. How many candies does each friend get?,2,division
"Noah has 5 boxes of pencils, each containing 8 pencils. How many pencils does Noah have in total?",40,multiplication
